date_2,gid,team_slug_1,fg_1,fga_1,fg%_1,3p_1,3pa_1,3p%_1,ft_1,fta_1,ft%_1,orb_1,drb_1,trb_1,ast_1,stl_1,blk_1,tov_1,pf_1,pts_1,home_1,betting_line_1,team_slug_2,fg_2,fga_2,fg%_2,3p_2,3pa_2,3p%_2,ft_2,fta_2,ft%_2,orb_2,drb_2,trb_2,ast_2,stl_2,blk_2,tov_2,pf_2,pts_2,home_2,betting_line_2,off_rating_1,off_rating_2,over_under
2013-11-27,201311270HOU,HOU,43,78,0.551,14,27,0.519,13,21,0.619,8,34,42,25,8,3,13,17,113,1,-8.0,ATL,32,75,0.427,8,22,0.364,12,15,0.8,6,26,32,21,8,4,18,24,84,0,8.0,123.71,91.96,204.5
2013-11-29,201311290ATL,ATL,31,73,0.425,3,15,0.2,23,30,0.767,9,34,43,19,10,4,16,16,88,1,1.5,DAL,29,77,0.377,9,24,0.375,20,21,0.952,10,34,44,17,9,4,18,21,87,0,-1.5,96.01,94.92,202.0
2013-11-29,201311290ATL,DAL,29,77,0.377,9,24,0.375,20,21,0.952,10,34,44,17,9,4,18,21,87,0,-1.5,ATL,31,73,0.425,3,15,0.2,23,30,0.767,9,34,43,19,10,4,16,16,88,1,1.5,94.92,96.01,202.0
2013-11-30,201311300WAS,ATL,36,81,0.444,7,17,0.412,22,26,0.846,9,31,40,19,7,6,16,18,101,0,4.5,WAS,38,78,0.487,12,24,0.5,20,30,0.667,6,32,38,24,12,5,16,20,108,1,-4.5,103.12,110.27,190.0
2013-11-30,201311300WAS,WAS,38,78,0.487,12,24,0.5,20,30,0.667,6,32,38,24,12,5,16,20,108,1,-4.5,ATL,36,81,0.444,7,17,0.412,22,26,0.846,9,31,40,19,7,6,16,18,101,0,4.5,110.27,103.12,190.0
2013-12-02,201312020SAS,ATL,42,96,0.438,11,31,0.355,5,5,1.0,10,29,39,22,10,2,10,19,100,0,12.0,SAS,42,78,0.538,6,18,0.333,12,17,0.706,9,39,48,27,6,8,17,10,102,1,-12.0,105.88,108.0,199.0
2013-12-02,201312020SAS,SAS,42,78,0.538,6,18,0.333,12,17,0.706,9,39,48,27,6,8,17,10,102,1,-12.0,ATL,42,96,0.438,11,31,0.355,5,5,1.0,10,29,39,22,10,2,10,19,100,0,12.0,108.0,105.88,199.0
2013-12-04,201312040ATL,ATL,42,82,0.512,12,23,0.522,11,16,0.688,8,32,40,28,4,4,11,22,107,1,2.5,LAC,39,83,0.47,4,19,0.211,15,20,0.75,7,29,36,22,4,2,12,16,97,0,-2.5,115.87,105.04,203.5
2013-12-04,201312040ATL,LAC,39,83,0.47,4,19,0.211,15,20,0.75,7,29,36,22,4,2,12,16,97,0,-2.5,ATL,42,82,0.512,12,23,0.522,11,16,0.688,8,32,40,28,4,4,11,22,107,1,2.5,105.04,115.87,203.5
2013-12-06,201312060ATL,ATL,47,91,0.516,8,23,0.348,6,11,0.545,14,36,50,31,6,3,12,18,108,1,-6.0,CLE,38,94,0.404,5,20,0.25,8,17,0.471,16,31,47,19,4,2,11,11,89,0,6.0,116.06,95.64,195.5
2013-12-06,201312060ATL,CLE,38,94,0.404,5,20,0.25,8,17,0.471,16,31,47,19,4,2,11,11,89,0,6.0,ATL,47,91,0.516,8,23,0.348,6,11,0.545,14,36,50,31,6,3,12,18,108,1,-6.0,95.64,116.06,195.5
2013-12-10,201312100ATL,ATL,31,87,0.356,9,26,0.346,21,27,0.778,12,33,45,24,10,5,15,22,92,1,3.5,OKC,38,86,0.442,4,18,0.222,21,28,0.75,10,44,54,27,8,7,16,19,101,0,-3.5,91.44,100.39,203.5
2013-12-10,201312100ATL,OKC,38,86,0.442,4,18,0.222,21,28,0.75,10,44,54,27,8,7,16,19,101,0,-3.5,ATL,31,87,0.356,9,26,0.346,21,27,0.778,12,33,45,24,10,5,15,22,92,1,3.5,100.39,91.44,203.5
2013-12-13,201312130ATL,ATL,38,89,0.427,7,21,0.333,18,24,0.75,11,35,46,27,10,1,15,14,101,1,-6.0,WAS,42,100,0.42,4,14,0.286,11,18,0.611,18,42,60,26,4,3,17,20,99,0,6.0,98.35,96.4,194.0
2013-12-13,201312130ATL,WAS,42,100,0.42,4,14,0.286,11,18,0.611,18,42,60,26,4,3,17,20,99,0,6.0,ATL,38,89,0.427,7,21,0.333,18,24,0.75,11,35,46,27,10,1,15,14,101,1,-6.0,96.4,98.35,194.0
