new_index,gid,team_slug_home,away_home_home,fg_home,fga_home,fg%_home,3p_home,3pa_home,3p%_home,ft_home,fta_home,ft%_home,orb_home,drb_home,trb_home,ast_home,stl_home,blk_home,tov_home,pf_home,pts_home,betting_line_home,betting_line_terms,team_slug_away,away_home_away,fg_away,fga_away,fg%_away,3p_away,3pa_away,3p%_away,ft_away,fta_away,ft%_away,orb_away,drb_away,trb_away,ast_away,stl_away,blk_away,tov_away,pf_away,pts_away,date,betting_line_away,over_under_terms,over_under
20,201401200ATL,ATL,home,42,81,0.519,12,31,0.387,25,27,0.926,7,31,38,33,8,1,13,26,121,5.0,-103.0,MIA,away,38,78,0.487,15,33,0.455,23,28,0.821,8,29,37,28,9,2,17,26,114,2014-01-20,-5.0,-103.0,200.5
21,201401240ATL,ATL,home,29,76,0.382,2,13,0.154,19,27,0.704,9,27,36,18,13,6,17,17,79,5.0,-104.0,SAS,away,41,84,0.488,11,18,0.611,12,17,0.706,15,39,54,26,7,6,22,21,105,2014-01-24,-5.0,-104.0,211.0
22,201402010ATL,ATL,home,43,92,0.467,9,23,0.391,25,30,0.833,15,33,48,30,12,4,13,27,120,-3.0,-105.0,MIN,away,37,84,0.44,6,16,0.375,33,39,0.846,14,32,46,25,9,7,17,24,113,2014-02-01,3.0,-108.0,209.0
23,201402040ATL,ATL,home,33,76,0.434,7,25,0.28,12,15,0.8,7,31,38,26,8,4,18,19,85,3.0,-110.0,IND,away,34,74,0.459,5,18,0.278,16,20,0.8,7,33,40,20,9,1,19,16,89,2014-02-04,-3.0,-110.0,200.5
24,201402080ATL,ATL,home,30,70,0.429,8,20,0.4,8,15,0.533,7,35,42,21,10,3,21,10,76,-1.5,100.0,MEM,away,37,90,0.411,4,12,0.333,1,1,1.0,11,30,41,22,14,5,15,12,79,2014-02-08,1.5,-110.0,191.0
25,201402190ATL,ATL,home,33,73,0.452,6,16,0.375,25,30,0.833,5,33,38,20,5,1,16,11,97,-1.0,-108.0,WAS,away,46,89,0.517,13,24,0.542,9,11,0.818,9,32,41,30,6,5,10,23,114,2014-02-19,1.0,-108.0,203.0
26,201402220ATL,ATL,home,32,74,0.432,16,31,0.516,27,33,0.818,7,33,40,19,2,4,10,18,107,-1.5,-108.0,NYK,away,39,89,0.438,10,28,0.357,10,16,0.625,8,33,41,22,6,4,10,24,98,2014-02-22,1.5,-107.0,204.0
27,201402250ATL,ATL,home,38,84,0.452,14,33,0.424,13,16,0.813,11,31,42,21,7,2,16,22,103,2.5,-105.0,CHI,away,37,88,0.42,8,24,0.333,25,29,0.862,15,33,48,24,11,2,12,15,107,2014-02-25,-2.5,-105.0,189.0
28,201403130ATL,ATL,home,36,74,0.486,13,29,0.448,17,20,0.85,7,34,41,23,3,6,17,22,102,-8.5,100.0,MIL,away,37,89,0.416,3,19,0.158,20,26,0.769,16,27,43,24,13,3,8,21,97,2014-03-13,8.5,-105.0,207.5
29,201403150ATL,ATL,home,33,81,0.407,14,32,0.438,17,29,0.586,6,32,38,25,12,5,13,17,97,-5.5,-109.0,DEN,away,34,83,0.41,8,25,0.32,16,25,0.64,12,42,54,27,7,7,20,24,92,2014-03-15,5.5,-110.0,220.0
30,201403180ATL,ATL,home,40,94,0.426,11,34,0.324,27,31,0.871,10,30,40,24,9,0,7,24,118,3.0,100.0,TOR,away,40,81,0.494,7,24,0.292,26,29,0.897,8,42,50,21,2,3,15,31,113,2014-03-18,-3.0,100.0,201.0
